category,item,paper_value,paper_evidence,paper_page,current_value,code_location,status,severity,confidence,likely_mape_impact,action
DATA,source agency,NYC Taxi & Limousine Commission trip-record source [66],Section III-D or not specified,10,byte-identical to bundled Numenta [58] reference CSV,data/ and experiments/fig9/data.py:19,PARTIAL,HIGH,HIGH,HIGH,Resolve author-processed dataset provenance
DATA,record count,17520,Section III-D or not specified,10,17520,data/ and experiments/fig9/data.py:19,MATCH,CRITICAL,HIGH,CRITICAL,"Keep full-year candidate separate from 10,320-row subset"
DATA,duration days,365,Section III-D or not specified,10,365,data/ and experiments/fig9/data.py:19,MATCH,HIGH,HIGH,HIGH,None
DATA,sampling interval minutes,30,Section III-D or not specified,10,30,data/ and experiments/fig9/data.py:19,MATCH,HIGH,HIGH,HIGH,None
DATA,exact start timestamp,,Section III-D or not specified,10,2014-07-01 00:00:00,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Do not backfill paper year range
DATA,exact end timestamp,,Section III-D or not specified,10,2015-06-30 23:30:00,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Do not backfill paper year range
DATA,timezone,,Section III-D or not specified,10,naive datetime,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Locate author preprocessing
DATA,raw source granularity,TLC trip records,Section III-D or not specified,10,already aggregated bins,data/ and experiments/fig9/data.py:19,PARTIAL,HIGH,HIGH,HIGH,Document transformation provenance
DATA,passenger aggregation formula,,Section III-D or not specified,10,not present in repository,data/ and experiments/fig9/data.py:19,UNKNOWN,CRITICAL,HIGH,CRITICAL,Locate author aggregation or contact authors
DATA,passenger semantic unit,number of passengers,Section III-D or not specified,10,aggregate named passenger_count,data/ and experiments/fig9/data.py:19,PARTIAL,HIGH,HIGH,HIGH,Distinguish SUM passenger_count from COUNT trips
DATA,pickup/dropoff anchor,,Section III-D or not specified,10,not recoverable from aggregate,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Locate generation code
DATA,yellow/green/FHV scope,,Section III-D or not specified,10,not recorded,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Locate generation code
DATA,geographic scope,,Section III-D or not specified,10,not recorded,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Locate generation code
DATA,missing-bin treatment,,Section III-D or not specified,10,no missing bins in finished CSV,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Locate generation code
DATA,duplicate treatment,,Section III-D or not specified,10,no duplicates in finished CSV,data/ and experiments/fig9/data.py:19,UNKNOWN,LOW,HIGH,LOW,None
DATA,DST treatment,,Section III-D or not specified,10,fixed 30-minute naive grid,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Locate timezone/preprocessing
DATA,normalization before encoding,,Section III-D or not specified,10,none; clipped to 0..40000,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Treat as implementation assumption
DATA,outlier treatment,,Section III-D or not specified,10,clipping only in encoder,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Treat as implementation assumption
DATA,data min,,Section III-D or not specified,10,8,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Do not treat observed min as paper bound
DATA,data max,,Section III-D or not specified,10,39197,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Do not treat observed max as paper bound
