checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
100,1,neural,1,would,will,86,86,86,True,2,3,48,"[{""word"": ""will"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""have"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""would"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""place"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""full"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,0
100,1,neural,2,want,do,88,88,88,True,4,4,50,"[{""word"": ""do"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""face"", ""timed_overlap"": 3, ""column_overlap"": 5}, {""word"": ""away"", ""timed_overlap"": 3, ""column_overlap"": 5}, {""word"": ""man"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""how"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,86,86,0
100,1,neural,3,to,face,91,91,91,True,4,4,46,"[{""word"": ""face"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""order"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""drunk"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""going"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,88,88,0
100,1,neural,4,see,Darkness,91,91,91,True,2,5,44,"[{""word"": ""Darkness"", ""timed_overlap"": 2, ""column_overlap"": 5}, {""word"": ""pulled"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""If"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""for"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""twitch"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,91,91,0
100,2,neural,1,over,over,24,24,24,True,6,6,49,"[{""word"": ""over"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""more"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""wonder"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""n't"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""could"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,19,10,0
100,2,neural,2,our,our,43,43,43,True,8,8,43,"[{""word"": ""our"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""great"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""anything"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""word"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""up"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,24,24,0
100,2,neural,3,heads,a,64,64,64,True,3,4,40,"[{""word"": ""a"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""heads"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""of"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""told"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""wished"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,43,43,0
100,2,neural,4,.,Bowser,75,75,75,True,2,4,52,"[{""word"": ""Bowser"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""window"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Miss"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""."", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""a"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,64,64,0
100,3,neural,1,a,a,46,46,46,True,7,7,39,"[{""word"": ""a"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""only"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""almost"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""her"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""fellow"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,37,10,0
100,3,neural,2,woman,woman,42,42,42,True,4,4,36,"[{""word"": ""woman"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""too"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""girl"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""sable"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""1715"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,46,46,0
100,3,neural,3,",",",",43,43,43,True,5,5,47,"[{""word"": "","", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""but"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""anxious"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""brave"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""night"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,42,42,0
