diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,7,63,82,82,82,93,5,2,2,True,Nay,False,82.0,12.829268292682928,10.0,0.0,0.024390243902439025,0.975609756097561,1.800269225239647
nonpaper diagnostic,1,2->3,I,did,73,10,10,91,94,94,94,81,,0,0,False,'m,False,94.0,8.563829787234043,7.0,0.0,0.010638297872340425,0.9893617021276596,0.9676279696878187
nonpaper diagnostic,1,3->4,did,not,100,10,5,48,32,32,32,71,1,5,5,True,not,True,32.0,7.21875,5.5,0.0,0.03125,0.96875,0.8698422969090588
nonpaper diagnostic,1,4->5,not,think,55,10,5,46,55,55,55,67,2,3,3,True,heard,False,55.0,5.6,5.0,0.0,0.03636363636363636,0.9636363636363636,0.33319640104874265
nonpaper diagnostic,1,5->6,think,you,55,10,7,66,48,48,48,76,4,2,2,True,it,False,48.0,6.104166666666667,5.0,0.0,0.020833333333333332,0.9791666666666666,0.45046649855174675
nonpaper diagnostic,1,6->7,you,would,73,10,0,0,86,86,86,73,5,2,2,True,need,False,86.0,7.593023255813954,7.0,0.0,0.0,1.0,0.6513655329810779
nonpaper diagnostic,2,1->2,The,Great,100,10,9,82,84,84,84,64,,0,0,False,king,False,84.0,9.119047619047619,10.0,0.011904761904761904,0.011904761904761904,0.9761904761904762,0.9961219134549492
nonpaper diagnostic,2,2->3,Great,Square,91,10,5,45,77,77,77,63,1,5,5,True,Square,True,77.0,6.8441558441558445,6.0,0.0,0.05194805194805195,0.948051948051948,0.8335894625472664
nonpaper diagnostic,2,3->4,Square,of,55,10,3,27,42,42,42,73,1,6,6,True,of,True,42.0,6.285714285714286,5.5,0.0,0.11904761904761904,0.8809523809523809,0.7921151456938195
nonpaper diagnostic,2,4->5,of,Pegasus,37,10,7,65,40,40,40,69,3,2,3,True,the,False,40.0,7.2,5.5,0.0,0.0,1.0,1.035242332819314
nonpaper diagnostic,2,5->6,Pegasus,was,73,10,5,45,60,60,60,57,34,1,1,True,frock,False,60.0,6.433333333333334,6.0,0.0,0.08333333333333333,0.9166666666666666,0.8535697233321116
nonpaper diagnostic,2,6->7,was,over,55,10,0,0,77,77,77,80,,0,0,False,that,False,77.0,5.8441558441558445,5.0,0.0,0.0,1.0,0.3910993403587156
nonpaper diagnostic,3,1->2,A,moment,100,10,4,36,56,56,56,76,,0,0,False,month,False,56.0,7.857142857142857,10.0,0.0,0.017857142857142856,0.9821428571428571,0.9160382042521261
nonpaper diagnostic,3,2->3,moment,before,46,10,1,10,12,12,12,64,1,9,9,True,before,True,12.0,8.583333333333334,10.0,0.0,0.0,1.0,0.9828775749150792
nonpaper diagnostic,3,3->4,before,she,19,10,2,20,8,8,8,62,1,8,8,True,she,True,8.0,10.0,10.0,0.0,0.0,1.0,1.1733755988710461
nonpaper diagnostic,3,4->5,she,had,28,10,2,20,17,17,17,66,1,7,7,True,had,True,17.0,7.705882352941177,5.0,0.0,0.058823529411764705,0.9411764705882353,1.2028589217135408
nonpaper diagnostic,3,5->6,had,been,28,10,4,39,33,33,33,73,5,2,2,True,not,False,33.0,7.151515151515151,8.0,0.0,0.06060606060606061,0.9393939393939394,0.7351538381165544
nonpaper diagnostic,3,6->7,been,a,46,10,0,0,27,27,27,64,1,3,4,True,a,True,27.0,6.592592592592593,7.0,0.0,0.037037037037037035,0.9629629629629629,0.5749233000786567
nonpaper diagnostic,4,1->2,When,the,100,10,4,37,37,37,37,79,1,3,4,True,the,True,37.0,7.0,7.0,0.0,0.08108108108108109,0.918918918918919,0.7223387876986939
nonpaper diagnostic,4,2->3,the,plum,46,10,7,63,86,86,86,67,,0,0,False,helmet,False,86.0,7.209302325581396,7.5,0.0,0.0,1.0,0.6120619291973974
nonpaper diagnostic,4,3->4,plum,pudding,73,10,3,28,25,25,25,72,1,7,7,True,pudding,True,25.0,5.76,4.0,0.04,0.2,0.76,0.5986231589848007
nonpaper diagnostic,4,4->5,pudding,came,37,10,1,10,49,49,49,72,1,7,7,True,came,True,49.0,6.775510204081633,6.0,0.0,0.12244897959183673,0.8775510204081632,0.8969180945213703
nonpaper diagnostic,4,5->6,came,on,19,10,3,29,12,12,12,61,1,7,8,True,on,True,12.0,7.5,10.0,0.0,0.0,1.0,0.5576973010164991
nonpaper diagnostic,4,6->7,on,",",37,10,0,0,23,23,23,65,24,1,2,True,calmly,False,23.0,4.391304347826087,4.0,0.0,0.08695652173913043,0.9130434782608695,0.21630438194992546
nonpaper diagnostic,5,1->2,Everybody,laughed,100,10,0,0,43,43,43,69,1,9,9,True,laughed,True,43.0,6.767441860465116,6.0,0.023255813953488372,0.023255813953488372,0.9534883720930233,0.6960653075047694
nonpaper diagnostic,5,2->3,laughed,",",10,10,0,0,10,10,10,74,1,10,10,True,",",True,10.0,10.0,10.0,0.0,0.0,1.0,1.0329420986363012
nonpaper diagnostic,5,3->4,",",and,10,10,0,0,31,31,31,65,1,8,8,True,and,True,31.0,6.935483870967742,7.0,0.0,0.03225806451612903,0.967741935483871,1.1661567785944902
nonpaper diagnostic,5,4->5,and,poor,10,10,7,63,58,58,58,77,,0,0,False,put,False,58.0,9.637931034482758,10.0,0.0,0.0,1.0,1.030543891078926
nonpaper diagnostic,5,5->6,poor,Rogers,73,10,5,46,70,70,70,80,1,5,5,True,Rogers,True,70.0,6.414285714285715,6.5,0.0,0.02857142857142857,0.9714285714285714,0.8354648699519519
nonpaper diagnostic,5,6->7,Rogers,had,55,10,0,0,13,13,13,59,1,8,8,True,had,True,13.0,7.538461538461538,10.0,0.0,0.15384615384615385,0.8461538461538461,0.7374359626237611
nonpaper diagnostic,6,1->2,The,easel,100,10,8,72,84,84,84,64,,0,0,False,king,False,84.0,9.119047619047619,10.0,0.011904761904761904,0.011904761904761904,0.9761904761904762,0.9961219134549492
nonpaper diagnostic,6,2->3,easel,stood,82,10,3,27,55,55,55,65,1,5,5,True,stood,True,55.0,6.127272727272727,5.0,0.0,0.12727272727272726,0.8727272727272727,0.6493125918903776
nonpaper diagnostic,6,3->4,stood,beneath,37,10,2,20,32,32,32,72,1,6,6,True,beneath,True,32.0,6.1875,6.0,0.03125,0.0625,0.90625,0.6882063466771067
nonpaper diagnostic,6,4->5,beneath,these,28,10,1,10,11,11,11,84,1,9,9,True,these,True,11.0,9.181818181818182,10.0,0.0,0.0,1.0,0.8997197917223029
nonpaper diagnostic,6,5->6,these,three,19,10,3,30,12,12,12,51,1,6,6,True,three,True,12.0,7.666666666666667,10.0,0.0,0.08333333333333333,0.9166666666666666,0.8540611022673609
nonpaper diagnostic,6,6->7,three,old,37,10,0,0,41,41,41,64,1,5,5,True,old,True,41.0,6.780487804878049,6.0,0.0,0.04878048780487805,0.9512195121951219,0.7664766226160433
nonpaper diagnostic,7,1->2,`,That,100,10,7,63,88,88,88,76,13,1,3,True,Yes,False,88.0,9.568181818181818,10.0,0.0,0.011363636363636364,0.9886363636363636,1.0936127901364168
nonpaper diagnostic,7,2->3,That,would,73,10,3,29,35,35,35,72,2,4,4,True,is,False,35.0,7.057142857142857,7.0,0.0,0.08571428571428572,0.9142857142857143,0.8313314986581865
nonpaper diagnostic,7,3->4,would,n't,37,10,2,20,8,8,8,56,1,8,8,True,n't,True,8.0,10.125,10.0,0.0,0.0,1.0,1.172706867917547
nonpaper diagnostic,7,4->5,n't,be,28,10,3,29,48,48,48,74,1,4,4,True,be,True,48.0,6.041666666666667,5.0,0.0,0.08333333333333333,0.9166666666666666,0.5887116071763515
nonpaper diagnostic,7,5->6,be,very,37,10,3,28,32,32,32,79,1,5,6,True,very,True,32.0,6.25,4.5,0.0,0.0,1.0,0.46636199467589223
nonpaper diagnostic,7,6->7,very,nice,37,10,0,0,43,43,43,72,1,5,5,True,nice,True,43.0,5.883720930232558,5.0,0.0,0.09302325581395349,0.9069767441860465,0.6531977915107875
nonpaper diagnostic,8,1->2,``,I,100,10,7,63,82,82,82,93,4,2,2,True,Nay,False,82.0,12.829268292682928,10.0,0.0,0.024390243902439025,0.975609756097561,1.800269225239647
nonpaper diagnostic,8,2->3,I,have,73,10,8,72,94,94,94,81,,0,0,False,'m,False,94.0,8.563829787234043,7.0,0.0,0.010638297872340425,0.9893617021276596,0.9676279696878187
nonpaper diagnostic,8,3->4,have,tasted,82,10,6,55,56,56,56,70,33,1,2,True,a,False,56.0,6.767857142857143,8.0,0.0,0.017857142857142856,0.9821428571428571,0.6642011954164032
nonpaper diagnostic,8,4->5,tasted,eggs,64,10,3,28,44,44,44,66,1,4,4,True,eggs,True,44.0,6.2272727272727275,6.0,0.0,0.13636363636363635,0.8636363636363636,0.7678209754163916
nonpaper diagnostic,8,5->6,eggs,",",37,10,7,66,34,34,34,64,2,2,4,True,I,False,34.0,6.411764705882353,6.0,0.0,0.08823529411764706,0.9117647058823529,0.6766257996127945
nonpaper diagnostic,8,6->7,",",certainly,73,10,0,0,97,97,97,76,,0,0,False,',False,97.0,12.185567010309278,10.0,0.0,0.010309278350515464,0.9896907216494846,1.5141884603504008
nonpaper diagnostic,9,1->2,``,Oh,100,10,7,63,82,82,82,93,,0,0,False,Nay,False,82.0,12.829268292682928,10.0,0.0,0.024390243902439025,0.975609756097561,1.800269225239647
nonpaper diagnostic,9,2->3,Oh,",",73,10,3,29,19,19,19,58,1,5,5,True,",",True,19.0,6.2105263157894735,4.0,0.0,0.15789473684210525,0.8421052631578947,0.45015861078867386
nonpaper diagnostic,9,3->4,",",Nan,37,10,9,82,89,89,89,78,,0,0,False,can,False,89.0,9.9438202247191,8.0,0.0,0.011235955056179775,0.9887640449438202,1.2720780649838535
nonpaper diagnostic,9,4->5,Nan,",",91,10,6,58,41,41,41,86,63,1,1,True,unpractical,False,41.0,6.195121951219512,6.0,0.024390243902439025,0.07317073170731707,0.9024390243902439,0.6123545812265307
nonpaper diagnostic,9,5->6,",",do,64,10,9,81,97,97,97,78,,0,0,False,danced,False,97.0,10.989690721649485,11.0,0.0,0.0,1.0,1.2653552750316504
nonpaper diagnostic,9,6->7,do,you,91,10,0,0,60,60,60,64,62,1,1,True,that,False,60.0,8.033333333333333,9.0,0.016666666666666666,0.016666666666666666,0.9666666666666667,1.00331082782086
nonpaper diagnostic,10,1->2,You,are,100,10,3,27,62,62,62,89,1,5,5,True,are,True,62.0,10.306451612903226,10.0,0.0,0.04838709677419355,0.9516129032258065,1.3570713202976195
nonpaper diagnostic,10,2->3,are,a,37,10,2,20,39,39,39,67,46,1,1,True,not,False,39.0,8.0,10.0,0.0,0.0,1.0,0.9670791199559645
nonpaper diagnostic,10,3->4,a,minister,28,10,5,47,48,48,48,82,12,1,3,True,great,False,48.0,5.895833333333333,5.5,0.0,0.020833333333333332,0.9791666666666666,0.49726877206060943
nonpaper diagnostic,10,4->5,minister,and,55,10,4,36,32,32,32,72,1,5,7,True,and,True,32.0,6.1875,6.0,0.03125,0.03125,0.9375,0.6508737148019912
nonpaper diagnostic,10,5->6,and,it,46,10,5,45,82,82,82,82,,0,0,False,poor,False,82.0,5.585365853658536,5.0,0.0,0.0,1.0,0.3881211523998713
nonpaper diagnostic,10,6->7,it,would,55,10,0,0,75,75,75,76,5,2,2,True,was,False,75.0,6.32,5.0,0.0,0.02666666666666667,0.9733333333333334,0.6515380007760534
nonpaper diagnostic,11,1->2,There,was,100,10,8,74,46,46,46,83,,0,0,False,he,False,46.0,6.739130434782608,6.5,0.021739130434782608,0.021739130434782608,0.9565217391304348,0.6189736800892052
nonpaper diagnostic,11,2->3,was,n't,82,10,6,54,89,89,89,71,53,1,1,True,that,False,89.0,8.112359550561798,8.0,0.0,0.02247191011235955,0.9775280898876404,0.8132035723668652
nonpaper diagnostic,11,3->4,n't,one,64,10,5,45,82,82,82,86,74,1,1,True,long,False,82.0,7.2317073170731705,6.0,0.0,0.0,1.0,0.6610116639499573
nonpaper diagnostic,11,4->5,one,of,55,10,4,36,47,47,47,74,1,3,3,True,of,True,47.0,5.914893617021277,5.0,0.0,0.06382978723404255,0.9361702127659575,0.46224991553334466
nonpaper diagnostic,11,5->6,of,you,46,10,4,39,50,50,50,66,32,1,2,True,the,False,50.0,7.06,5.0,0.0,0.0,1.0,0.898219890614115
nonpaper diagnostic,11,6->7,you,dared,46,10,0,0,77,77,77,76,56,1,1,True,as,False,77.0,5.909090909090909,5.0,0.0,0.012987012987012988,0.987012987012987,0.5178784430694429
nonpaper diagnostic,12,1->2,In,1715,100,10,4,39,55,55,55,72,4,2,2,True,fact,False,55.0,7.381818181818182,8.0,0.0,0.05454545454545454,0.9454545454545454,0.8316031545124712
nonpaper diagnostic,12,2->3,1715,",",46,10,6,60,11,11,11,45,1,3,3,True,",",True,11.0,6.7272727272727275,6.0,0.0,0.18181818181818182,0.8181818181818182,0.5677149157598067
nonpaper diagnostic,12,3->4,",",what,64,10,9,81,97,97,97,80,,0,0,False,it,False,97.0,11.577319587628866,11.0,0.0,0.0,1.0,1.4047148978177955
nonpaper diagnostic,12,4->5,what,must,91,10,2,18,57,57,57,67,44,1,1,True,'s,False,57.0,7.719298245614035,9.0,0.017543859649122806,0.05263157894736842,0.9298245614035088,0.9494493317554515
