parameter_or_rule,Zhang_status,reference,reference_page_or_equation,value_or_formula,inheritance_evidence,confidence,classification
V_inh kernel,semantic only,"Zhang 2025 Eq.(3), p.10147",inhibitory feedback from other mini-columns,No inheritance sentence,low,STILL_UNKNOWN,
V_inh amplitude,not given,Zhang 2025 Eq.(3),not specified,No,high,STILL_UNKNOWN,
V_inh duration,not given,Zhang 2025 Eq.(3),not specified,No,high,STILL_UNKNOWN,
V_inh spatial scope,other mini-columns,Zhang 2025 Eq.(3),"column-level wording, neuron-level formula unresolved",No,medium,PAPER_EXPLICIT,
intracolumn suppression,constant sufficiently large,Zhang 2025 II-B.5,suppressed peers cannot fire until cycle end,No,high,PAPER_EXPLICIT_REFERENCE_DEFINED,
refractory amplitude,-theta after firing,Zhang 2025 II-B.5,eta(t-t_fire)=-theta in current cycle,No,high,PAPER_EXPLICIT,
refractory duration,current cycle,Zhang 2025 II-B.5,otherwise eta=0,No,high,PAPER_EXPLICIT,
tau_m,not numeric,Zhang 2025 Eq.(1),shape parameter only,No,high,STILL_UNKNOWN,
tau_s,not numeric,Zhang 2025 Eq.(1),shape parameter only,No,high,STILL_UNKNOWN,
V0,not numeric,Zhang 2025 Eq.(1),scale parameter only,No,high,STILL_UNKNOWN,
PSP normalization,not stated,Zhang 2025 Eq.(1),no peak-normalization sentence,No,high,STILL_UNKNOWN,
v_dep,0.5,Zhang 2025 Table I,depolarization potential,No,high,PAPER_EXPLICIT,
A_osc,0.5,Zhang 2025 Table I,oscillation amplitude,No,high,PAPER_EXPLICIT,
f_osc,"<1/(2K), layer-dependent",Zhang 2025 Table I and II-B.4,frequency decreases in higher layers,No,high,PAPER_EXPLICIT,
phi_0,0 or pi,Zhang 2025 Table I and III-A,initial phase; adjacent layer difference pi,No,high,PAPER_EXPLICIT,
theta,1.0,Zhang 2025 Table I,firing threshold,No,high,PAPER_EXPLICIT,
theta_d,1.0,Zhang 2025 Table I,distal dendrite threshold,No,high,PAPER_EXPLICIT,
w0,0.5,Zhang 2025 Table I,initial synaptic weight,No,high,PAPER_EXPLICIT,
delta_w,0.01,Zhang 2025 Table I,weight adjustment,No,high,PAPER_EXPLICIT,
delta_w_prime,0.01,Zhang 2025 Table I,incorrect-prediction weight reduction,No,high,PAPER_EXPLICIT,
dt,not given,Zhang 2025,"continuous formula, no integration grid specified",No,high,STILL_UNKNOWN,
simultaneous spike handling,not given,Zhang 2025,no tie policy specified,No,high,STILL_UNKNOWN,
