diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,4,36,78,78,78,41,,0,0,False,Then,False,78.0,10.166666666666666,10.0,0.05128205128205128,0.07692307692307693,0.8717948717948718,2.624070067241268
nonpaper diagnostic,1,2->3,I,did,46,10,6,54,78,78,78,61,,0,0,False,have,False,78.0,5.371794871794871,4.0,0.07692307692307693,0.038461538461538464,0.8846153846153846,1.003819651918419
nonpaper diagnostic,1,3->4,did,not,64,10,1,9,37,37,37,42,2,2,2,True,n't,False,37.0,5.27027027027027,4.0,0.1891891891891892,0.1891891891891892,0.6216216216216216,1.0747478117206077
nonpaper diagnostic,1,4->5,not,think,19,10,1,9,15,15,15,44,1,9,9,True,think,True,15.0,7.2,10.0,0.06666666666666667,0.26666666666666666,0.6666666666666666,1.6141495449411636
nonpaper diagnostic,1,5->6,think,you,19,10,2,19,23,23,23,44,1,6,6,True,you,True,23.0,5.304347826086956,3.0,0.13043478260869565,0.5217391304347826,0.34782608695652173,0.9601841708956336
nonpaper diagnostic,1,6->7,you,would,28,10,0,0,70,70,70,51,36,1,1,True,miles,False,70.0,4.014285714285714,4.0,0.12857142857142856,0.32857142857142857,0.5428571428571428,0.6577802124037494
nonpaper diagnostic,2,1->2,The,Great,100,10,5,46,72,72,72,51,46,1,1,True,youth,False,72.0,7.944444444444445,10.0,0.125,0.09722222222222222,0.7777777777777778,2.0008106598576143
nonpaper diagnostic,2,2->3,Great,Square,55,10,5,46,62,62,62,37,27,1,1,True,and,False,62.0,4.532258064516129,4.0,0.11290322580645161,0.20967741935483872,0.6774193548387096,1.2641411093275776
nonpaper diagnostic,2,3->4,Square,of,55,10,4,36,56,56,56,49,33,1,1,True,harm,False,56.0,4.232142857142857,3.5,0.16071428571428573,0.3392857142857143,0.5,0.9942379552158213
nonpaper diagnostic,2,4->5,of,Pegasus,46,10,3,28,60,60,60,38,1,4,4,True,Pegasus,True,60.0,4.983333333333333,4.0,0.08333333333333333,0.05,0.8666666666666667,0.892386658445973
nonpaper diagnostic,2,5->6,Pegasus,was,37,10,2,18,22,22,22,47,1,8,8,True,was,True,22.0,5.818181818181818,4.0,0.2727272727272727,0.09090909090909091,0.6363636363636364,1.5609664021272622
nonpaper diagnostic,2,6->7,was,over,28,10,0,0,59,59,59,40,5,2,2,True,n't,False,59.0,3.9661016949152543,3.0,0.2711864406779661,0.3898305084745763,0.3389830508474576,0.5898932157998982
nonpaper diagnostic,3,1->2,A,moment,100,10,2,18,47,47,47,36,2,2,3,True,sable,False,47.0,6.0212765957446805,4.0,0.1702127659574468,0.3191489361702128,0.5106382978723404,1.4633952127390537
nonpaper diagnostic,3,2->3,moment,before,28,10,0,0,12,12,12,41,1,10,10,True,before,True,12.0,7.833333333333333,9.0,0.16666666666666666,0.0,0.8333333333333334,2.0529797130397793
nonpaper diagnostic,3,3->4,before,she,10,10,0,0,10,10,10,43,1,10,10,True,she,True,10.0,10.0,10.0,0.0,0.0,1.0,2.653303948201993
nonpaper diagnostic,3,4->5,she,had,10,10,1,10,9,9,9,39,1,9,9,True,had,True,9.0,10.0,10.0,0.0,0.0,1.0,3.041156012681003
nonpaper diagnostic,3,5->6,had,been,19,10,1,9,27,27,27,41,1,6,6,True,been,True,27.0,5.62962962962963,4.0,0.2962962962962963,0.18518518518518517,0.5185185185185185,1.4191418919507937
nonpaper diagnostic,3,6->7,been,a,19,10,0,0,14,14,14,46,1,9,9,True,a,True,14.0,7.785714285714286,10.0,0.21428571428571427,0.07142857142857142,0.7142857142857143,1.9622870580128964
nonpaper diagnostic,4,1->2,When,the,100,10,3,27,48,48,48,40,1,4,5,True,the,True,48.0,4.541666666666667,4.0,0.20833333333333334,0.16666666666666666,0.625,1.0099469507341934
nonpaper diagnostic,4,2->3,the,plum,37,10,6,55,84,84,84,43,2,2,2,True,queen,False,84.0,4.559523809523809,4.0,0.0,0.21428571428571427,0.7857142857142857,0.7016591531392277
nonpaper diagnostic,4,3->4,plum,pudding,64,10,0,0,18,18,18,40,1,10,10,True,pudding,True,18.0,6.944444444444445,10.0,0.0,0.3888888888888889,0.6111111111111112,1.671119477904118
nonpaper diagnostic,4,4->5,pudding,came,10,10,0,0,10,10,10,39,1,10,10,True,came,True,10.0,10.0,10.0,0.0,0.0,1.0,2.766292730105148
nonpaper diagnostic,4,5->6,came,on,10,10,0,0,10,10,10,46,1,10,10,True,on,True,10.0,10.0,10.0,0.0,0.0,1.0,2.8416185847072497
nonpaper diagnostic,4,6->7,on,",",10,10,0,0,11,11,11,44,1,10,10,True,",",True,11.0,9.363636363636363,10.0,0.0,0.09090909090909091,0.9090909090909091,1.9951365120195688
nonpaper diagnostic,5,1->2,Everybody,laughed,100,10,4,36,62,62,62,45,1,6,6,True,laughed,True,62.0,3.725806451612903,3.0,0.06451612903225806,0.7258064516129032,0.20967741935483872,0.4876776859506123
nonpaper diagnostic,5,2->3,laughed,",",46,10,1,10,21,21,21,50,1,9,9,True,",",True,21.0,5.666666666666667,3.0,0.42857142857142855,0.09523809523809523,0.47619047619047616,1.3962624734390534
nonpaper diagnostic,5,3->4,",",and,19,10,3,27,73,73,73,44,1,7,7,True,and,True,73.0,5.273972602739726,4.0,0.0,0.3698630136986301,0.6301369863013698,1.7383882937883517
nonpaper diagnostic,5,4->5,and,poor,37,10,5,45,86,86,86,44,4,2,2,True,soft,False,86.0,6.430232558139535,4.5,0.023255813953488372,0.32558139534883723,0.6511627906976745,1.3383493631668606
nonpaper diagnostic,5,5->6,poor,Rogers,55,10,2,18,67,67,67,43,1,4,4,True,Rogers,True,67.0,4.522388059701493,4.0,0.14925373134328357,0.13432835820895522,0.7164179104477612,1.4804885314963334
nonpaper diagnostic,5,6->7,Rogers,had,28,10,0,0,12,12,12,36,1,9,9,True,had,True,12.0,7.416666666666667,9.0,0.16666666666666666,0.0,0.8333333333333334,2.005709166312445
nonpaper diagnostic,6,1->2,The,easel,100,10,6,57,72,72,72,52,,0,0,False,youth,False,72.0,7.944444444444445,10.0,0.125,0.09722222222222222,0.7777777777777778,2.0008106598576143
nonpaper diagnostic,6,2->3,easel,stood,64,10,1,9,26,26,26,50,1,8,8,True,stood,True,26.0,5.269230769230769,3.0,0.2692307692307692,0.3076923076923077,0.4230769230769231,1.1047499201582518
nonpaper diagnostic,6,3->4,stood,beneath,19,10,0,0,15,15,15,36,1,9,9,True,beneath,True,15.0,7.4,10.0,0.26666666666666666,0.06666666666666667,0.6666666666666666,2.038760934728108
nonpaper diagnostic,6,4->5,beneath,these,10,10,0,0,10,10,10,55,1,10,10,True,these,True,10.0,10.0,10.0,0.0,0.0,1.0,3.093275417127913
nonpaper diagnostic,6,5->6,these,three,10,10,0,0,10,10,10,38,1,10,10,True,three,True,10.0,10.0,10.0,0.0,0.0,1.0,2.9374878542008362
nonpaper diagnostic,6,6->7,three,old,10,10,0,0,9,9,9,33,1,9,9,True,old,True,9.0,10.0,10.0,0.0,0.0,1.0,2.499038119711323
nonpaper diagnostic,7,1->2,`,That,100,10,4,36,91,91,91,49,27,1,2,True,Her,False,91.0,7.516483516483516,10.0,0.054945054945054944,0.25274725274725274,0.6923076923076923,1.8910715878828248
nonpaper diagnostic,7,2->3,That,would,46,10,0,0,25,25,25,44,1,8,8,True,would,True,25.0,6.08,4.0,0.24,0.0,0.76,1.431621501576548
nonpaper diagnostic,7,3->4,would,n't,10,10,0,0,10,10,10,40,1,10,10,True,n't,True,10.0,9.0,9.0,0.0,0.0,1.0,1.848686864952257
nonpaper diagnostic,7,4->5,n't,be,10,10,2,20,27,27,27,29,1,5,5,True,be,True,27.0,5.2592592592592595,3.0,0.0,0.5185185185185185,0.48148148148148145,0.9316516502130189
nonpaper diagnostic,7,5->6,be,very,28,10,1,9,40,40,40,50,1,7,7,True,very,True,40.0,4.65,3.0,0.075,0.65,0.275,0.7377978866760577
nonpaper diagnostic,7,6->7,very,nice,19,10,0,0,12,12,12,43,1,10,10,True,nice,True,12.0,8.666666666666666,10.0,0.16666666666666666,0.0,0.8333333333333334,3.188574036207846
nonpaper diagnostic,8,1->2,``,I,100,10,4,36,78,78,78,41,,0,0,False,Then,False,78.0,10.166666666666666,10.0,0.05128205128205128,0.07692307692307693,0.8717948717948718,2.624070067241268
nonpaper diagnostic,8,2->3,I,have,46,10,4,36,78,78,78,61,1,2,3,True,have,True,78.0,5.371794871794871,4.0,0.07692307692307693,0.038461538461538464,0.8846153846153846,1.003819651918419
nonpaper diagnostic,8,3->4,have,tasted,46,10,3,28,46,46,46,39,1,5,5,True,tasted,True,46.0,5.217391304347826,5.0,0.10869565217391304,0.08695652173913043,0.8043478260869565,0.9221379565094558
nonpaper diagnostic,8,4->5,tasted,eggs,37,10,1,10,42,42,42,44,1,3,3,True,eggs,True,42.0,5.0,4.5,0.2619047619047619,0.16666666666666666,0.5714285714285714,1.342439691543588
nonpaper diagnostic,8,5->6,eggs,",",19,10,1,10,9,9,9,41,1,9,9,True,",",True,9.0,10.0,10.0,0.0,0.0,1.0,2.1385772750876235
nonpaper diagnostic,8,6->7,",",certainly,19,10,0,0,67,67,67,41,,0,0,False,and,False,67.0,5.313432835820896,4.0,0.05970149253731343,0.2537313432835821,0.6865671641791045,1.279578059133858
nonpaper diagnostic,9,1->2,``,Oh,100,10,7,63,78,78,78,41,29,1,2,True,Then,False,78.0,10.166666666666666,10.0,0.05128205128205128,0.07692307692307693,0.8717948717948718,2.624070067241268
nonpaper diagnostic,9,2->3,Oh,",",73,10,1,9,23,23,23,40,1,9,9,True,",",True,23.0,6.043478260869565,4.0,0.17391304347826086,0.043478260869565216,0.782608695652174,1.1369516087827514
nonpaper diagnostic,9,3->4,",",Nan,19,10,8,72,79,79,79,38,,0,0,False,and,False,79.0,5.544303797468355,4.0,0.02531645569620253,0.22784810126582278,0.7468354430379747,1.4286303727694745
nonpaper diagnostic,9,4->5,Nan,",",82,10,2,18,46,46,46,49,1,5,6,True,",",True,46.0,4.5,4.0,0.2391304347826087,0.2391304347826087,0.5217391304347826,0.8929027046850326
nonpaper diagnostic,9,5->6,",",do,28,10,5,46,77,77,77,45,38,1,1,True,and,False,77.0,5.8441558441558445,5.0,0.025974025974025976,0.18181818181818182,0.7922077922077922,1.4012408484742476
nonpaper diagnostic,9,6->7,do,you,55,10,0,0,41,41,41,44,2,3,3,True,but,False,41.0,5.658536585365853,5.0,0.0975609756097561,0.0975609756097561,0.8048780487804879,1.209111919424498
nonpaper diagnostic,10,1->2,You,are,100,10,2,18,71,71,71,58,36,1,2,True,see,False,71.0,8.605633802816902,10.0,0.15492957746478872,0.09859154929577464,0.7464788732394366,2.270024759625307
