path,purpose,classification,imported_by_strict_runner,potential_model_side_effects,trace_only_or_analyzer,oracle,teacher_forced,ground_truth_reference,future_location,suggested_action
experiments/diagnostics/__init__.py,Experiments that are informative but not part of strict paper reproduction.,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_actual_branch_provenance.py,Offline audit and aggregation for Fig.9 actual-history provenance traces.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_autonomous_context_provenance.py,Offline analysis for the Fig.9 autonomous-context provenance audit.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_branch_identity.py,Offline audit of Fig.9 actual-branch identity and lineage recoverability.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_branch_provenance.py,Offline analysis for Fig.9 branch provenance traces.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,Offline score-separability analysis for Fig.9 competition candidates.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_context_oracle.py,Offline target/false and context-quality analysis for Fig.9.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_context_trajectory_decomposition.py,Analyze read-only Fig.9 context trajectory traces.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_independent_reference_provenance.py,Offline summaries for the independent Fig.9 reference traces.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,Offline comparison for the nonpaper Fig.9 intracolumn selector ablation.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,Offline Fig.9 L2/L4 ambiguity and sparsity analysis.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,Offline audit for the Fig.9 L2/L4 500-record robustness experiment.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,Offline P0/P1/P2/P3 decomposition for the L2 diagnostic stack.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,Paired offline analysis for the real Fig.9 L_match diagnostic grid.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,Protocol audit and offline analysis for the Fig.9 L_match x stack study.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,Offline analysis for the Fig.9 match-overlap decomposition trace.,NONPAPER_DIAGNOSTIC,False,False,True,False,True,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,Offline summary of real-observation Scenario 1/2/3 assignments.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,CLI-compatible entry point for exact Fig.9 observation reasons.,NONPAPER_DIAGNOSTIC,False,False,True,False,True,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_pairwise_context.py,Offline source-pair coherence audit for Fig.9.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_preselection_segments.py,Offline analysis for the read-only Fig.9 preselection segment funnel.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_readout_dynamics.py,Analyze Fig.9 selector and competition readout traces.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,Offline within-column loss analysis for pre-existing Fig.9 references.,NONPAPER_DIAGNOSTIC,False,False,True,True,True,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,Orchestrate scenario-aware teacher-reference analysis from existing traces.,NONPAPER_DIAGNOSTIC,False,False,True,True,True,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_segment_context_composition.py,Offline analysis for Fig.9 segment-context composition traces.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,Offline alignment of autonomous Fig.9 candidates to future observations.,NONPAPER_DIAGNOSTIC,False,False,True,False,True,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_temporal_context.py,Analyze bounded Fig.9 temporal candidate summaries.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,Offline analysis of Fig.9 source timing and eligibility evidence.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,Analyze Fig.9 reinforcement traces without changing model execution.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,Assemble read-only Fig.9 traces split by a checkpoint resume.,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/audit_fig9_paper_code_parity.py,Generate the read-only Fig.9 paper-to-code parity audit bundle.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/benchmark_real_timeseries.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
