diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,8,72,86,86,86,48,,0,0,False,Remember,False,86.0,6.9186046511627906,4.5,0.38372093023255816,0.10465116279069768,0.5116279069767442,2.0421512844152234
nonpaper diagnostic,1,2->3,I,did,82,10,7,63,96,96,96,48,,0,0,False,'ve,False,96.0,5.520833333333333,5.0,0.2916666666666667,0.19791666666666666,0.5104166666666666,1.2145980160194199
nonpaper diagnostic,1,3->4,did,not,73,10,3,28,58,58,58,52,1,6,6,True,not,True,58.0,3.793103448275862,3.0,0.43103448275862066,0.27586206896551724,0.29310344827586204,0.8251752587720194
nonpaper diagnostic,1,4->5,not,think,37,10,4,36,43,43,43,46,1,6,6,True,think,True,43.0,4.232558139534884,4.0,0.16279069767441862,0.27906976744186046,0.5581395348837209,0.8508839880538899
nonpaper diagnostic,1,5->6,think,you,46,10,4,36,70,70,70,42,1,4,4,True,you,True,70.0,3.585714285714286,3.0,0.44285714285714284,0.08571428571428572,0.4714285714285714,0.7478327013110513
nonpaper diagnostic,1,6->7,you,would,46,10,0,0,86,86,86,48,3,2,2,True,will,False,86.0,4.686046511627907,5.0,0.13953488372093023,0.11627906976744186,0.7441860465116279,1.0769374747478389
nonpaper diagnostic,2,1->2,The,Great,100,10,6,55,85,85,85,51,,0,0,False,youth,False,85.0,5.811764705882353,3.0,0.36470588235294116,0.1411764705882353,0.49411764705882355,1.5439061882139393
nonpaper diagnostic,2,2->3,Great,Square,64,10,6,54,79,79,79,36,1,4,4,True,Square,True,79.0,3.1772151898734178,2.0,0.5063291139240507,0.25316455696202533,0.22784810126582278,1.1425185210839957
nonpaper diagnostic,2,3->4,Square,of,64,10,4,36,68,68,68,49,1,2,3,True,of,True,68.0,3.7794117647058822,3.0,0.3235294117647059,0.35294117647058826,0.3235294117647059,1.0062825870613168
nonpaper diagnostic,2,4->5,of,Pegasus,46,10,3,27,68,68,68,37,2,3,3,True,agreement,False,68.0,4.382352941176471,4.0,0.17647058823529413,0.11764705882352941,0.7058823529411765,0.8834641776415741
nonpaper diagnostic,2,5->6,Pegasus,was,37,10,1,10,36,36,36,36,1,8,8,True,was,True,36.0,4.027777777777778,2.0,0.5277777777777778,0.25,0.2222222222222222,0.9199842791113864
nonpaper diagnostic,2,6->7,was,over,19,10,0,0,24,24,24,49,1,6,6,True,over,True,24.0,5.041666666666667,3.5,0.20833333333333334,0.25,0.5,0.9698272262093992
nonpaper diagnostic,3,1->2,A,moment,100,10,5,45,78,78,78,44,,0,0,False,sable,False,78.0,3.1666666666666665,2.0,0.7435897435897436,0.11538461538461539,0.14102564102564102,0.552710766355597
nonpaper diagnostic,3,2->3,moment,before,55,10,0,0,35,35,35,51,1,8,8,True,before,True,35.0,3.2857142857142856,2.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5135914851556825
nonpaper diagnostic,3,3->4,before,she,10,10,1,10,9,9,9,40,1,9,9,True,she,True,9.0,10.0,10.0,0.0,0.0,1.0,3.3310505460630564
nonpaper diagnostic,3,4->5,she,had,19,10,4,36,28,28,28,34,1,3,5,True,had,True,28.0,4.678571428571429,3.0,0.4642857142857143,0.10714285714285714,0.42857142857142855,1.5771016982141632
nonpaper diagnostic,3,5->6,had,been,46,10,3,27,64,64,64,46,1,5,5,True,been,True,64.0,4.46875,4.0,0.375,0.046875,0.578125,1.2000143488031696
nonpaper diagnostic,3,6->7,been,a,37,10,0,0,46,46,46,39,1,7,7,True,a,True,46.0,4.326086956521739,3.0,0.3695652173913043,0.13043478260869565,0.4782608695652174,1.195462110659651
nonpaper diagnostic,4,1->2,When,the,100,10,7,64,85,85,85,43,1,3,3,True,the,True,85.0,2.988235294117647,3.0,0.4823529411764706,0.3176470588235294,0.2,0.30347648497912455
nonpaper diagnostic,4,2->3,the,plum,73,10,6,54,95,95,95,43,2,2,2,True,price,False,95.0,6.28421052631579,7.0,0.21052631578947367,0.05263157894736842,0.7368421052631579,1.681907915897679
nonpaper diagnostic,4,3->4,plum,pudding,64,10,3,28,38,38,38,36,1,7,7,True,pudding,True,38.0,3.6315789473684212,2.0,0.6578947368421053,0.0,0.34210526315789475,0.7660719931271909
nonpaper diagnostic,4,4->5,pudding,came,37,10,2,18,67,67,67,40,1,6,6,True,came,True,67.0,3.5223880597014925,2.0,0.5671641791044776,0.16417910447761194,0.26865671641791045,1.1122498425308114
nonpaper diagnostic,4,5->6,came,on,28,10,0,0,20,20,20,49,1,9,9,True,on,True,20.0,6.15,6.5,0.35,0.15,0.5,1.8529601044448718
nonpaper diagnostic,4,6->7,on,",",10,10,0,0,14,14,14,44,1,10,10,True,",",True,14.0,7.785714285714286,10.0,0.21428571428571427,0.07142857142857142,0.7142857142857143,1.894245241402689
nonpaper diagnostic,5,1->2,Everybody,laughed,100,10,3,27,69,69,69,45,1,7,7,True,laughed,True,69.0,3.710144927536232,3.0,0.15942028985507245,0.6376811594202898,0.2028985507246377,0.5773571960545723
nonpaper diagnostic,5,2->3,laughed,",",37,10,4,38,23,23,23,51,1,6,7,True,",",True,23.0,4.695652173913044,2.0,0.6086956521739131,0.13043478260869565,0.2608695652173913,1.1901313965671925
nonpaper diagnostic,5,3->4,",",and,46,10,8,72,96,96,96,53,2,2,3,True,too,False,96.0,5.760416666666667,4.0,0.041666666666666664,0.0,0.9583333333333334,1.4617364086175968
nonpaper diagnostic,5,4->5,and,poor,82,10,7,63,97,97,97,42,31,1,1,True,Puck,False,97.0,6.783505154639175,8.0,0.21649484536082475,0.07216494845360824,0.711340206185567,1.8380956470959027
nonpaper diagnostic,5,5->6,poor,Rogers,73,10,6,54,73,73,73,47,1,4,4,True,Rogers,True,73.0,3.1232876712328768,2.0,0.5068493150684932,0.2602739726027397,0.2328767123287671,0.8170274819397002
