rank,candidate,evidence_for,evidence_against,paper_explicitness,current_mismatch,estimated_importance,testability,next_test
1,FIVE_STEP_PROTOCOL_MISMATCH,"Code state is through t-1, but output labels t and compares raw step5 to t+5.",Reported timestamp difference is still exactly 2.5 h.,EXPLICIT horizon; anchor timing inferred,Direct code-level off-by-one,CRITICAL,HIGH,Shift anchor/target in isolated non-model parity A/B.
2,EVALUATION_WINDOW_MISMATCH,Current 250/500 uses warmup 200 and only 45/295 predictions; paper reports a year.,"Current default 5904 follows cited [58], but no full strict run exists.",Warmup/range not specified by Zhang,Not directly comparable,CRITICAL,HIGH,"After horizon fix, run a small alignment validation before any full year."
3,PASSENGER_AGGREGATION_MISMATCH,"Paper cites raw TLC; exact aggregation, fleet and timestamp rule are absent.","Current 17,520 file matches all published structural facts and [58] assets.",NOT_SPECIFIED_IN_PAPER,"Provenance unresolved, not proven wrong",HIGH,MEDIUM,Locate author processed dataset or ask authors for preprocessing.
4,READOUT_MECHANISM_MISMATCH,Paper gives no real-value decoder equation; current tie averaging can be broad for dense predictions.,Perfect encoded patterns decode at only 0.00141 repository MAPE.,NOT_SPECIFIED_IN_PAPER,Implementation assumption,HIGH,HIGH,Use ideal and partial-pattern audit before changing readout.
5,CONTINUOUS_DYNAMICS_UNDERSPECIFIED,"tau, V0 normalization, timing tolerance and integration grid are unpublished.",Topology and thresholds are aligned; prior diagnostics already isolated density failure.,NOT_SPECIFIED_IN_PAPER,Implementation assumption,HIGH,MEDIUM,Resume mechanism diagnostics only after protocol alignment.
6,INTERCOLUMN_INHIBITION_MISMATCH,Paper describes intercolumn inhibition; strict rollout has no continuous intercolumn competition.,The paper does not publish scheduling or current equations.,IMPLIED_BY_METHOD,Partial implementation,HIGH,MEDIUM,Only test after anchor/evaluation parity is fixed.
7,ENCODER_SCALE_MISMATCH,"Paper omits l, sigma, min and max; current values come from [58].",Exact topology/K/order match and ideal roundtrip error is small.,NOT_SPECIFIED_IN_PAPER,Implementation assumption,MEDIUM,HIGH,Obtain author scale or report sensitivity as diagnostic.
8,LEARNING_RULE_MISMATCH,Exact contributing-synapse timing and solver behavior are not fully specified.,"Scenario 1/2/3, updates, L_match and forgetting values broadly align.",PARTIAL,Partial implementation,MEDIUM,MEDIUM,Defer until protocol mismatch is resolved.
9,FORGETTING_MISMATCH,Pruning timing and tie details are implementation choices.,"Formula, weights and threshold 65 are explicit and matched.",EXPLICIT core rule,Minor partial mismatch,LOW,MEDIUM,No immediate action.
10,DATASET_ROW_COUNT_MISMATCH,"A 10,320-row file exists historically.","Current strict default actually reads the complete 17,520-row file.",EXPLICIT_IN_PAPER,No mismatch in current default,LOW,HIGH,Keep old NAB subset classified separately.
