diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,5,48,30,30,30,20,1,5,5,True,I,True,30.0,10.0,10.0,0.0,0.0,1.0,1.6945399219644306
nonpaper diagnostic,1,2->3,I,did,55,10,6,56,36,36,36,15,,0,0,False,have,False,36.0,6.916666666666667,6.0,0.0,0.027777777777777776,0.9722222222222222,0.8022613625434577
nonpaper diagnostic,1,3->4,did,not,64,10,1,10,16,16,16,14,1,9,9,True,not,True,16.0,8.6875,10.0,0.0,0.0,1.0,1.3673075753856927
nonpaper diagnostic,1,4->5,not,think,19,10,0,0,10,10,10,17,1,10,10,True,think,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,1,5->6,think,you,10,10,0,0,10,10,10,9,1,10,10,True,you,True,10.0,10.0,10.0,0.0,0.0,1.0,1.62142533771523
nonpaper diagnostic,1,6->7,you,would,10,10,0,0,9,9,9,8,1,9,9,True,would,True,9.0,10.0,10.0,0.0,0.0,1.0,1.4609299088755225
nonpaper diagnostic,2,1->2,The,Great,100,10,1,9,19,19,19,13,,0,0,False,easel,False,19.0,10.0,10.0,0.0,0.0,1.0,1.6495824304941262
nonpaper diagnostic,2,2->3,Great,Square,19,10,0,0,10,10,10,12,1,10,10,True,Square,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,2,3->4,Square,of,10,10,0,0,10,10,10,11,1,10,10,True,of,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,0,0,10,10,10,18,1,10,10,True,Pegasus,True,10.0,10.0,10.0,0.0,0.0,1.0,1.62142533771523
nonpaper diagnostic,2,5->6,Pegasus,was,10,10,0,0,10,10,10,9,1,10,10,True,was,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,2,6->7,was,over,10,10,0,0,10,10,10,12,1,10,10,True,over,True,10.0,10.0,10.0,0.0,0.0,1.0,1.5679268614353283
nonpaper diagnostic,3,1->2,A,moment,100,10,0,0,10,10,10,12,1,10,10,True,moment,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,3,2->3,moment,before,10,10,0,0,10,10,10,14,1,10,10,True,before,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6214253377152303
nonpaper diagnostic,3,3->4,before,she,10,10,0,0,10,10,10,8,1,10,10,True,she,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,3,4->5,she,had,10,10,0,0,10,10,10,14,1,10,10,True,had,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6214253377152303
nonpaper diagnostic,3,5->6,had,been,10,10,0,0,10,10,10,13,1,10,10,True,been,True,10.0,10.0,10.0,0.0,0.0,1.0,1.62142533771523
nonpaper diagnostic,3,6->7,been,a,10,10,0,0,10,10,10,10,1,10,10,True,a,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,4,1->2,When,the,100,10,0,0,11,11,11,10,1,10,10,True,the,True,11.0,9.363636363636363,10.0,0.0,0.09090909090909091,0.9090909090909091,1.5502680969056315
nonpaper diagnostic,4,2->3,the,plum,10,10,0,0,10,10,10,8,1,10,10,True,plum,True,10.0,10.0,10.0,0.0,0.0,1.0,1.5069385984762387
nonpaper diagnostic,4,3->4,plum,pudding,10,10,0,0,10,10,10,13,1,10,10,True,pudding,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,4,4->5,pudding,came,10,10,0,0,10,10,10,8,1,10,10,True,came,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,4,5->6,came,on,10,10,0,0,10,10,10,12,1,10,10,True,on,True,10.0,10.0,10.0,0.0,0.0,1.0,1.62142533771523
nonpaper diagnostic,4,6->7,on,",",10,10,0,0,10,10,10,14,1,10,10,True,",",True,10.0,10.0,10.0,0.0,0.0,1.0,1.6321250329712114
nonpaper diagnostic,5,1->2,Everybody,laughed,100,10,0,0,10,10,10,14,1,10,10,True,laughed,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,5,2->3,laughed,",",10,10,0,0,10,10,10,14,1,10,10,True,",",True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
nonpaper diagnostic,5,3->4,",",and,10,10,0,0,10,10,10,11,1,10,10,True,and,True,10.0,10.0,10.0,0.0,0.0,1.0,2.062787767024427
nonpaper diagnostic,5,4->5,and,poor,10,10,2,18,18,18,18,14,,0,0,False,he,False,18.0,10.0,10.0,0.0,0.0,1.0,1.6035925122885957
nonpaper diagnostic,5,5->6,poor,Rogers,28,10,0,0,11,11,11,15,1,10,10,True,Rogers,True,11.0,9.363636363636363,10.0,0.0,0.09090909090909091,0.9090909090909091,1.5285325289019447
nonpaper diagnostic,5,6->7,Rogers,had,10,10,0,0,10,10,10,14,1,10,10,True,had,True,10.0,10.0,10.0,0.0,0.0,1.0,1.6749238139951328
