diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,4,37,61,61,61,46,1,5,5,True,I,True,61.0,11.78688524590164,10.0,0.0,0.0,1.0,1.865702691162259
nonpaper diagnostic,1,2->3,I,did,46,10,2,18,57,57,57,41,2,2,3,True,heard,False,57.0,6.701754385964913,5.0,0.0,0.0,1.0,0.5931283094299433
nonpaper diagnostic,1,3->4,did,not,28,10,1,9,14,14,14,43,1,9,9,True,not,True,14.0,8.285714285714286,10.0,0.0,0.0,1.0,0.9675975311801341
nonpaper diagnostic,1,4->5,not,think,19,10,1,10,9,9,9,42,1,9,9,True,think,True,9.0,10.0,10.0,0.0,0.0,1.0,1.3479886811735053
nonpaper diagnostic,1,5->6,think,you,19,10,3,30,7,7,7,32,1,7,7,True,you,True,7.0,10.0,10.0,0.0,0.0,1.0,1.2469360037559116
nonpaper diagnostic,1,6->7,you,would,37,10,0,0,51,51,51,41,1,6,6,True,would,True,51.0,5.764705882352941,5.0,0.0,0.0392156862745098,0.9607843137254902,0.5745440136383949
nonpaper diagnostic,2,1->2,The,Great,100,10,3,28,67,67,67,47,,0,0,False,youth,False,67.0,9.82089552238806,10.0,0.0,0.0,1.0,1.2803925135488659
nonpaper diagnostic,2,2->3,Great,Square,37,10,2,18,40,40,40,43,1,5,5,True,Square,True,40.0,6.65,6.5,0.0,0.075,0.925,1.133950587994077
nonpaper diagnostic,2,3->4,Square,of,28,10,0,0,12,12,12,47,1,10,10,True,of,True,12.0,8.833333333333334,10.0,0.08333333333333333,0.0,0.9166666666666666,1.378453091277339
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,1,10,9,9,9,43,1,9,9,True,Pegasus,True,9.0,10.0,10.0,0.0,0.0,1.0,0.9639885069866485
nonpaper diagnostic,2,5->6,Pegasus,was,19,10,0,0,13,13,13,38,1,9,9,True,was,True,13.0,8.923076923076923,10.0,0.0,0.07692307692307693,0.9230769230769231,1.1596741669775303
nonpaper diagnostic,2,6->7,was,over,10,10,0,0,9,9,9,37,1,9,9,True,over,True,9.0,10.0,10.0,0.0,0.0,1.0,1.2053260777604318
nonpaper diagnostic,3,1->2,A,moment,100,10,1,9,30,30,30,34,2,2,3,True,sable,False,30.0,9.2,10.0,0.0,0.03333333333333333,0.9666666666666667,1.3167399323165194
nonpaper diagnostic,3,2->3,moment,before,19,10,0,0,10,10,10,41,1,10,10,True,before,True,10.0,10.0,10.0,0.0,0.0,1.0,1.514428385155425
nonpaper diagnostic,3,3->4,before,she,10,10,2,20,8,8,8,35,1,8,8,True,she,True,8.0,10.0,10.0,0.0,0.0,1.0,1.4462178278985494
nonpaper diagnostic,3,4->5,she,had,28,10,2,18,23,23,23,46,1,5,5,True,had,True,23.0,6.565217391304348,5.0,0.0,0.0,1.0,0.859886157974355
nonpaper diagnostic,3,5->6,had,been,28,10,1,10,30,30,30,46,1,7,7,True,been,True,30.0,6.1,4.0,0.0,0.03333333333333333,0.9666666666666667,0.5981778147349587
nonpaper diagnostic,3,6->7,been,a,19,10,0,0,11,11,11,41,1,10,10,True,a,True,11.0,9.454545454545455,10.0,0.0,0.0,1.0,1.215491762968579
nonpaper diagnostic,4,1->2,When,the,100,10,2,18,22,22,22,47,1,7,8,True,the,True,22.0,6.909090909090909,7.0,0.0,0.18181818181818182,0.8181818181818182,1.0313026741616484
nonpaper diagnostic,4,2->3,the,plum,28,10,3,29,35,35,35,35,1,5,5,True,plum,True,35.0,6.142857142857143,5.0,0.0,0.0,1.0,0.4602617279313782
nonpaper diagnostic,4,3->4,plum,pudding,37,10,1,10,9,9,9,36,1,9,9,True,pudding,True,9.0,10.0,10.0,0.0,0.0,1.0,1.4371528083066767
nonpaper diagnostic,4,4->5,pudding,came,19,10,0,0,26,26,26,46,1,8,8,True,came,True,26.0,7.076923076923077,7.0,0.0,0.038461538461538464,0.9615384615384616,1.1747150924275507
nonpaper diagnostic,4,5->6,came,on,10,10,1,10,9,9,9,44,1,9,9,True,on,True,9.0,10.0,10.0,0.0,0.0,1.0,1.2707131043247577
nonpaper diagnostic,4,6->7,on,",",19,10,0,0,8,8,8,32,1,7,7,True,",",True,8.0,10.0,10.0,0.0,0.0,1.0,0.8791339793315809
nonpaper diagnostic,5,1->2,Everybody,laughed,100,10,0,0,13,13,13,44,1,9,9,True,laughed,True,13.0,9.0,10.0,0.0,0.0,1.0,1.391713948636443
nonpaper diagnostic,5,2->3,laughed,",",10,10,0,0,10,10,10,44,1,10,10,True,",",True,10.0,10.0,10.0,0.0,0.0,1.0,1.9959146716745486
nonpaper diagnostic,5,3->4,",",and,10,10,0,0,21,21,21,36,1,10,10,True,and,True,21.0,7.285714285714286,6.0,0.0,0.09523809523809523,0.9047619047619048,2.1581933830569198
nonpaper diagnostic,5,4->5,and,poor,10,10,7,66,51,51,51,46,26,1,1,True,Gilbert,False,51.0,9.470588235294118,10.0,0.0,0.0,1.0,1.2412714592086278
nonpaper diagnostic,5,5->6,poor,Rogers,73,10,2,18,27,27,27,50,1,7,7,True,Rogers,True,27.0,6.592592592592593,5.0,0.0,0.037037037037037035,0.9629629629629629,0.7689840014278155
nonpaper diagnostic,5,6->7,Rogers,had,28,10,0,0,10,10,10,41,1,9,9,True,had,True,10.0,10.0,10.0,0.0,0.0,1.0,1.3004344800358143
nonpaper diagnostic,6,1->2,The,easel,100,10,4,37,67,67,67,47,,0,0,False,youth,False,67.0,9.82089552238806,10.0,0.0,0.0,1.0,1.2803925135488659
nonpaper diagnostic,6,2->3,easel,stood,46,10,0,0,20,20,20,38,1,10,10,True,stood,True,20.0,7.35,9.0,0.0,0.2,0.8,1.1886226646108176
nonpaper diagnostic,6,3->4,stood,beneath,10,10,0,0,10,10,10,33,1,10,10,True,beneath,True,10.0,10.0,10.0,0.0,0.0,1.0,1.514428385155425
nonpaper diagnostic,6,4->5,beneath,these,10,10,0,0,10,10,10,55,1,10,10,True,these,True,10.0,10.0,10.0,0.0,0.0,1.0,1.5679268614353277
nonpaper diagnostic,6,5->6,these,three,10,10,0,0,10,10,10,38,1,10,10,True,three,True,10.0,10.0,10.0,0.0,0.0,1.0,1.3004344800358143
nonpaper diagnostic,6,6->7,three,old,10,10,0,0,10,10,10,36,1,10,10,True,old,True,10.0,10.0,10.0,0.0,0.0,1.0,1.5294079585137976
nonpaper diagnostic,7,1->2,`,That,100,10,3,27,76,76,76,44,,0,0,False,what,False,76.0,9.289473684210526,10.0,0.0,0.013157894736842105,0.9868421052631579,1.1743720188192328
nonpaper diagnostic,7,2->3,That,would,37,10,1,10,20,20,20,41,1,9,9,True,would,True,20.0,6.75,4.5,0.0,0.0,1.0,0.8036761687950223
nonpaper diagnostic,7,3->4,would,n't,19,10,3,30,7,7,7,26,1,7,7,True,n't,True,7.0,10.0,10.0,0.0,0.0,1.0,1.65199589558946
nonpaper diagnostic,7,4->5,n't,be,37,10,2,19,35,35,35,37,1,4,4,True,be,True,35.0,6.142857142857143,5.0,0.0,0.08571428571428572,0.9142857142857143,0.7055675966691641
nonpaper diagnostic,7,5->6,be,very,28,10,0,0,19,19,19,58,1,9,9,True,very,True,19.0,7.368421052631579,9.0,0.0,0.0,1.0,0.7910726716655833
nonpaper diagnostic,7,6->7,very,nice,10,10,0,0,10,10,10,43,1,10,10,True,nice,True,10.0,10.0,10.0,0.0,0.0,1.0,2.001264519302539
nonpaper diagnostic,8,1->2,``,I,100,10,4,37,61,61,61,46,1,5,5,True,I,True,61.0,11.78688524590164,10.0,0.0,0.0,1.0,1.865702691162259
nonpaper diagnostic,8,2->3,I,have,46,10,6,54,57,57,57,41,18,1,2,True,heard,False,57.0,6.701754385964913,5.0,0.0,0.0,1.0,0.5931283094299433
nonpaper diagnostic,8,3->4,have,tasted,64,10,3,28,42,42,42,51,2,4,4,True,not,False,42.0,7.0,7.0,0.0,0.0,1.0,0.6826771177495269
