diagnostic_label,sentence_index,phase,step,selection,selected_event_count,distinct_creation_transitions,maximum_same_origin_events,provenance_coherent_fraction,branch_entropy,source_coherence,minimum_source_jaccard,matches_historical_winner_set,raw_predicted_columns,burst_columns,burst_cells,active_cells_after_observe,winners_after_observe,beam_width,lambda_coherence,lambda_support,decoded_correct,expected_word_present,propagated_columns
nonpaper diagnostic,1,cue,1,coherent-beam,3,1,3,0.3,0.0,0.24591953073014017,0.16129032258064516,False,82,7,63,73,10,,,,,,
nonpaper diagnostic,1,cue,2,coherent-beam,0,0,0,0.0,0.0,0.0,0.0,False,94,10,91,100,10,,,,,,
nonpaper diagnostic,1,cue,3,coherent-beam,5,1,5,0.5,0.0,0.8105263157894737,0.5263157894736842,False,32,5,48,55,10,,,,,,
nonpaper diagnostic,1,cue,4,coherent-beam,5,1,5,0.5,0.0,1.0,1.0,False,55,5,46,55,10,,,,,,
nonpaper diagnostic,1,cue,5,coherent-beam,3,2,2,0.2,0.9182958340544894,0.33879781420765026,0.00819672131147541,False,48,7,66,73,10,,,,,,
nonpaper diagnostic,1,suffix,1,coherent-beam,10,7,3,0.3,0.94268071481726,0.15656849629903072,0.0,False,86,,,,,4,0.5,0.0,False,True,10
nonpaper diagnostic,1,suffix,2,coherent-beam,3,1,3,0.3,0.0,1.0,1.0,False,3,,,,,4,0.5,0.0,False,False,3
nonpaper diagnostic,2,cue,1,coherent-beam,1,1,1,0.1,0.0,0.0,0.0,False,84,9,82,91,10,,,,,,
nonpaper diagnostic,2,cue,2,coherent-beam,5,1,5,0.5,0.0,1.0,1.0,False,77,5,45,55,10,,,,,,
nonpaper diagnostic,2,cue,3,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,42,3,27,37,10,,,,,,
nonpaper diagnostic,2,cue,4,coherent-beam,3,1,3,0.3,0.0,1.0,1.0,False,40,7,65,73,10,,,,,,
nonpaper diagnostic,2,cue,5,coherent-beam,5,2,4,0.4,0.7219280948873623,0.6177777777777778,0.044444444444444446,False,60,5,45,55,10,,,,,,
nonpaper diagnostic,2,suffix,1,coherent-beam,10,6,4,0.4,0.8982444017039272,0.2501851325019598,0.0,False,77,,,,,4,0.5,0.0,False,False,10
nonpaper diagnostic,2,suffix,2,coherent-beam,10,2,9,0.9,0.46899559358928117,0.8139860139860139,0.06993006993006994,True,10,,,,,4,0.5,0.0,False,False,10
nonpaper diagnostic,2,suffix,3,coherent-beam,9,2,8,0.8,0.5032583347756457,0.8,0.1,False,9,,,,,4,0.5,0.0,False,False,9
nonpaper diagnostic,2,suffix,4,coherent-beam,9,2,8,0.8,0.5032583347756457,0.8362573099415205,0.2631578947368421,False,9,,,,,4,0.5,0.0,False,False,9
nonpaper diagnostic,3,cue,1,coherent-beam,6,1,6,0.6,0.0,1.0,1.0,False,56,4,36,46,10,,,,,,
nonpaper diagnostic,3,cue,2,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,12,1,10,19,10,,,,,,
nonpaper diagnostic,3,cue,3,coherent-beam,8,1,8,0.8,0.0,1.0,1.0,False,8,2,20,28,10,,,,,,
nonpaper diagnostic,3,cue,4,coherent-beam,8,1,8,0.8,0.0,0.6071428571428571,0.3333333333333333,False,17,2,20,28,10,,,,,,
nonpaper diagnostic,3,cue,5,coherent-beam,6,2,5,0.5,0.6500224216483541,0.6666666666666666,0.0,False,33,4,39,46,10,,,,,,
nonpaper diagnostic,3,suffix,1,coherent-beam,10,4,5,0.5,0.8804820237218407,0.27068101043298476,0.0,False,27,,,,,4,0.5,0.0,True,True,10
nonpaper diagnostic,3,suffix,2,coherent-beam,1,1,1,0.1,0.0,0.0,0.0,False,1,,,,,4,0.5,0.0,False,False,1
nonpaper diagnostic,4,cue,1,coherent-beam,6,3,4,0.4,0.7896900821428474,0.45168542402584955,0.017857142857142856,False,37,4,37,46,10,,,,,,
nonpaper diagnostic,4,cue,2,coherent-beam,3,1,3,0.3,0.0,0.6842105263157894,0.5263157894736842,False,86,7,63,73,10,,,,,,
nonpaper diagnostic,4,cue,3,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,25,3,28,37,10,,,,,,
nonpaper diagnostic,4,cue,4,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,49,1,10,19,10,,,,,,
nonpaper diagnostic,4,cue,5,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,12,3,29,37,10,,,,,,
nonpaper diagnostic,4,suffix,1,coherent-beam,9,6,3,0.3,0.935944697445866,0.1448111225484346,0.0,False,23,,,,,4,0.5,0.0,False,True,9
nonpaper diagnostic,5,cue,1,coherent-beam,10,1,10,1.0,0.0,0.9,0.5,True,43,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,2,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,3,coherent-beam,10,1,10,1.0,0.0,0.3414618519787825,0.06896551724137931,True,31,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,4,coherent-beam,3,1,3,0.3,0.0,0.5145969498910675,0.4,False,58,7,63,73,10,,,,,,
nonpaper diagnostic,5,cue,5,coherent-beam,5,1,5,0.5,0.0,1.0,1.0,False,70,5,46,55,10,,,,,,
nonpaper diagnostic,5,suffix,1,coherent-beam,9,2,8,0.8,0.5032583347756457,0.782716049382716,0.022222222222222223,False,13,,,,,4,0.5,0.0,True,True,9
nonpaper diagnostic,5,suffix,2,coherent-beam,8,1,8,0.8,0.0,1.0,1.0,False,9,,,,,4,0.5,0.0,True,True,8
nonpaper diagnostic,5,suffix,3,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,4,0.5,0.0,False,False,9
nonpaper diagnostic,5,suffix,4,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,4,0.5,0.0,False,False,9
nonpaper diagnostic,6,cue,1,coherent-beam,2,1,2,0.2,0.0,1.0,1.0,False,84,8,72,82,10,,,,,,
nonpaper diagnostic,6,cue,2,coherent-beam,7,2,6,0.6,0.5916727785823274,0.7186813186813187,0.015384615384615385,False,55,3,27,37,10,,,,,,
nonpaper diagnostic,6,cue,3,coherent-beam,8,2,7,0.7,0.5435644431995964,0.75,0.0,False,32,2,20,28,10,,,,,,
nonpaper diagnostic,6,cue,4,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,11,1,10,19,10,,,,,,
nonpaper diagnostic,6,cue,5,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,12,3,30,37,10,,,,,,
