diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,3,27,60,60,60,43,1,5,5,True,I,True,60.0,11.766666666666667,10.0,0.0,0.0,1.0,1.8243002458769702
nonpaper diagnostic,1,2->3,I,did,37,10,3,28,39,39,39,45,22,1,2,True,heard,False,39.0,8.0,10.0,0.0,0.0,1.0,0.8307452934143098
nonpaper diagnostic,1,3->4,did,not,37,10,1,9,18,18,18,43,1,9,9,True,not,True,18.0,7.666666666666667,10.0,0.0,0.05555555555555555,0.9444444444444444,0.8225147586020172
nonpaper diagnostic,1,4->5,not,think,19,10,1,10,9,9,9,42,1,9,9,True,think,True,9.0,10.0,10.0,0.0,0.0,1.0,1.2885459297513915
nonpaper diagnostic,1,5->6,think,you,19,10,4,40,6,6,6,27,1,6,6,True,you,True,6.0,10.0,10.0,0.0,0.0,1.0,1.28260165460918
nonpaper diagnostic,1,6->7,you,would,46,10,0,0,64,64,64,48,5,2,2,True,shook,False,64.0,5.75,5.0,0.0,0.0,1.0,0.5023249136165264
nonpaper diagnostic,2,1->2,The,Great,100,10,4,38,66,66,66,45,,0,0,False,youth,False,66.0,9.833333333333334,10.0,0.0,0.015151515151515152,0.9848484848484849,1.287076555625757
nonpaper diagnostic,2,2->3,Great,Square,46,10,2,18,47,47,47,44,1,7,7,True,Square,True,47.0,7.23404255319149,7.0,0.0,0.0,1.0,1.0624845505318141
nonpaper diagnostic,2,3->4,Square,of,28,10,0,0,13,13,13,47,1,10,10,True,of,True,13.0,8.23076923076923,10.0,0.15384615384615385,0.07692307692307693,0.7692307692307693,1.172038136964048
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,1,10,9,9,9,43,1,9,9,True,Pegasus,True,9.0,10.0,10.0,0.0,0.0,1.0,0.9639885069866485
nonpaper diagnostic,2,5->6,Pegasus,was,19,10,0,0,13,13,13,38,1,9,9,True,was,True,13.0,9.076923076923077,10.0,0.0,0.07692307692307693,0.9230769230769231,1.2791864696904793
nonpaper diagnostic,2,6->7,was,over,10,10,0,0,9,9,9,37,1,9,9,True,over,True,9.0,10.0,10.0,0.0,0.0,1.0,1.2707131043247573
nonpaper diagnostic,3,1->2,A,moment,100,10,1,9,30,30,30,36,2,3,4,True,sable,False,30.0,9.233333333333333,10.0,0.0,0.03333333333333333,0.9666666666666667,1.266617869451594
nonpaper diagnostic,3,2->3,moment,before,19,10,0,0,10,10,10,41,1,10,10,True,before,True,10.0,10.0,10.0,0.0,0.0,1.0,1.514428385155425
nonpaper diagnostic,3,3->4,before,she,10,10,1,10,9,9,9,37,1,9,9,True,she,True,9.0,10.0,10.0,0.0,0.0,1.0,1.3301558557468718
nonpaper diagnostic,3,4->5,she,had,19,10,3,27,27,27,27,49,1,3,4,True,had,True,27.0,6.481481481481482,6.0,0.0,0.0,1.0,0.9284271386892194
nonpaper diagnostic,3,5->6,had,been,37,10,1,10,31,31,31,43,1,7,7,True,been,True,31.0,6.483870967741935,5.0,0.0,0.03225806451612903,0.967741935483871,0.7143002301539404
nonpaper diagnostic,3,6->7,been,a,19,10,0,0,10,10,10,46,1,9,9,True,a,True,10.0,9.4,10.0,0.0,0.0,1.0,1.276895150472657
nonpaper diagnostic,4,1->2,When,the,100,10,1,9,24,24,24,36,1,9,9,True,the,True,24.0,7.166666666666667,7.0,0.0,0.041666666666666664,0.9583333333333334,1.002411757692246
nonpaper diagnostic,4,2->3,the,plum,19,10,1,10,13,13,13,32,1,9,9,True,plum,True,13.0,8.153846153846153,10.0,0.0,0.07692307692307693,0.9230769230769231,0.732116051247002
nonpaper diagnostic,4,3->4,plum,pudding,19,10,1,10,9,9,9,36,1,9,9,True,pudding,True,9.0,10.0,10.0,0.0,0.0,1.0,1.4371528083066767
nonpaper diagnostic,4,4->5,pudding,came,19,10,0,0,27,27,27,42,1,7,7,True,came,True,27.0,7.074074074074074,7.0,0.0,0.037037037037037035,0.9629629629629629,1.1117877293839653
nonpaper diagnostic,4,5->6,came,on,10,10,0,0,10,10,10,46,1,10,10,True,on,True,10.0,10.0,10.0,0.0,0.0,1.0,1.3004344800358147
nonpaper diagnostic,4,6->7,on,",",10,10,0,0,8,8,8,32,1,7,7,True,",",True,8.0,10.0,10.0,0.0,0.0,1.0,0.8055735744467147
