field_name,initialized_where,read_locations,write_locations,persistent_or_transient,checkpoint_relevant,science_relevant,rng_related,prediction_related,learning_related,evaluation_related,safe_to_group,notes
encoder,SequentialMemory.__init__:555,"decode_symbols_from_prediction:2069; _decode_candidates:2103; observe:2113",SequentialMemory.__init__:555,CONFIGURATION,YES,YES,NO,YES,NO,YES,NO,Direct model owner; outside Phase 05.
params,SequentialMemory.__init__:556,"prediction; decode; observe; learning; dynamics; pruning",SequentialMemory.__init__:556,CONFIGURATION,YES,YES,NO,YES,YES,YES,NO,Strict defaults and parameter semantics remain untouched.
columns,SequentialMemory.__init__:583,"prediction; observation; segment growth; reinforcement; punishment; pruning",SequentialMemory.__init__:583,PERSISTENT_MEMORY,YES,YES,NO,YES,YES,YES,NO,Owns neurons and long-term segment/synapse memory.
_incoming_index,SequentialMemory.__init__:586,"_grow_segment:2939; _reinforce_segment:3745; _live_incoming:4204-4212",SequentialMemory.__init__:586,CACHED_DERIVED_STATE,YES,YES,NO,YES,YES,NO,NO,Incremental reverse index; not part of transient snapshot.
_dirty_incoming_sources,SequentialMemory.__init__:587,"_prune_neuron:4141; _live_incoming:4205-4213",SequentialMemory.__init__:587,CACHED_DERIVED_STATE,YES,YES,NO,YES,YES,NO,NO,Invalidation state for the incoming index.
_dynamics,SequentialMemory.__init__:588,"prediction; PSP integration; contribution tracing",SequentialMemory.__init__:588,CACHED_DERIVED_STATE,YES,YES,NO,YES,YES,NO,NO,Derived from params; numerical behavior is out of scope.
_kernel_peak_time,SequentialMemory.__init__:589,"predict_code:1079; _new_synapse_delay:2979; _segment_score:2989",SequentialMemory.__init__:589,CACHED_DERIVED_STATE,YES,YES,NO,YES,YES,NO,NO,Derived scalar used by timing calculations.
_spike_response_cache,SequentialMemory.__init__:590,"_cached_spike_response; continuous prediction paths",SequentialMemory.__init__:590,CACHED_DERIVED_STATE,NO,YES,NO,YES,NO,NO,NO,Explicitly emptied by __getstate__; not snapshot state.
_predictive_soma_can_fire,SequentialMemory.__init__:591,predict_code:1363,SequentialMemory.__init__:591,CACHED_DERIVED_STATE,YES,YES,NO,YES,NO,NO,NO,Derived dynamics capability flag.
_event_times,SequentialMemory.__init__:592,"prediction selection; decode",SequentialMemory.__init__:592,CACHED_DERIVED_STATE,YES,YES,NO,YES,NO,YES,NO,Alias to encoder event times.
_decode_rng,SequentialMemory.__init__:593,"snapshot:714; restore:740; decode:2047-2084",SequentialMemory.__init__:593,RNG_STATE,YES,YES,YES,NO,NO,YES,YES,Snapshot stores getstate and restore calls setstate in the current order.
_learning_rng,SequentialMemory.__init__:594,"snapshot:715; restore:741; matching:2865; least-used selection:4201",SequentialMemory.__init__:594,RNG_STATE,YES,YES,YES,YES,YES,YES,YES,Snapshot stores getstate and restore calls setstate after decode RNG.
previous_active_cells,SequentialMemory.__init__:595,"snapshot:703; active context:752; provenance:2952","reset:686; restore:725; observe:2712; advance_prediction:2750",TRANSIENT_CONTEXT,YES,YES,NO,YES,YES,YES,YES,Actual active-cell context for the next transition.
previous_winners,SequentialMemory.__init__:596,"snapshot:704; active context:752-753; observe/learn:2134-2506; provenance:2951-2960; reinforce:3880-3934","reset:687; restore:726; observe:2713; advance_prediction:2751",TRANSIENT_CONTEXT,YES,YES,NO,YES,YES,YES,YES,Learning/context winners for the next transition.
last_prediction_candidates,SequentialMemory.__init__:597,"snapshot:707; selection/decode/observe/advance/punish","reset:688; restore:727; predict_code:1035",TRANSIENT_CONTEXT,YES,YES,NO,YES,YES,YES,YES,"Snapshot copies dict and lists only; PredictionCandidate and Segment identities remain shared."
last_prediction_stats,SequentialMemory.__init__:598,snapshot:709,"reset:689; restore:731; predict_code:1036-1704",TRANSIENT_DIAGNOSTIC,YES,NO,NO,YES,NO,YES,YES,Scalar statistics from the most recent prediction.
last_observe_stats,SequentialMemory.__init__:599,snapshot:710,"reset:690; restore:732; observe_code:2720",TRANSIENT_DIAGNOSTIC,YES,NO,NO,NO,YES,YES,YES,Scalar Scenario statistics from the most recent observation.
