path,module,role,loc,class_count,function_count,local_import_count,imported_by_count,direct_test_reference,indirect_test_reference,checkpoint_sensitive,module_docstring,documented_definition_ratio,comment_lines
experiments/diagnostics/__init__.py,experiments.diagnostics,diagnostic,1,0,0,0,0,False,False,False,True,,0
experiments/diagnostics/analyze_fig9_actual_branch_provenance.py,experiments.diagnostics.analyze_fig9_actual_branch_provenance,diagnostic,488,0,19,0,0,False,False,False,True,0.000,4
experiments/diagnostics/analyze_fig9_autonomous_context_provenance.py,experiments.diagnostics.analyze_fig9_autonomous_context_provenance,diagnostic,423,0,12,0,0,False,False,False,True,0.083,0
experiments/diagnostics/analyze_fig9_branch_identity.py,experiments.diagnostics.analyze_fig9_branch_identity,diagnostic,392,0,16,0,1,True,True,False,True,0.125,4
experiments/diagnostics/analyze_fig9_branch_provenance.py,experiments.diagnostics.analyze_fig9_branch_provenance,diagnostic,596,0,17,2,1,True,True,False,True,0.000,0
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,experiments.diagnostics.analyze_fig9_candidate_score_separability,diagnostic,1654,0,46,1,3,True,True,False,True,0.217,0
experiments/diagnostics/analyze_fig9_context_oracle.py,experiments.diagnostics.analyze_fig9_context_oracle,diagnostic,632,0,21,0,1,True,True,False,True,0.048,0
experiments/diagnostics/analyze_fig9_context_trajectory_decomposition.py,experiments.diagnostics.analyze_fig9_context_trajectory_decomposition,diagnostic,497,0,12,0,1,True,True,False,True,0.000,0
experiments/diagnostics/analyze_fig9_independent_reference_provenance.py,experiments.diagnostics.analyze_fig9_independent_reference_provenance,diagnostic,89,0,5,0,0,False,False,False,True,0.000,0
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,experiments.diagnostics.analyze_fig9_intracolumn_selector,diagnostic,469,0,16,0,1,True,True,False,True,0.000,0
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,experiments.diagnostics.analyze_fig9_l2_ambiguity_accumulation,diagnostic,816,0,33,0,0,False,False,False,True,0.091,0
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,experiments.diagnostics.analyze_fig9_l2_l4_long_sequence,diagnostic,627,0,26,0,1,True,True,False,True,0.154,0
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,experiments.diagnostics.analyze_fig9_l2_stack_component_2x2,diagnostic,357,0,9,1,1,True,True,False,True,0.444,1
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,experiments.diagnostics.analyze_fig9_lmatch_ablation,diagnostic,701,0,29,1,1,True,True,False,True,0.034,3
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,experiments.diagnostics.analyze_fig9_lmatch_stack_2x2,diagnostic,843,0,23,1,3,True,True,False,True,0.130,2
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,experiments.diagnostics.analyze_fig9_match_overlap_decomposition,diagnostic,1816,0,40,0,2,True,True,False,True,0.075,13
experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,experiments.diagnostics.analyze_fig9_observe_scenario_assignment,diagnostic,473,0,12,0,3,True,True,False,True,0.000,0
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,experiments.diagnostics.analyze_fig9_observe_scenario_reasons,diagnostic,37,0,2,1,0,False,False,False,True,0.000,0
experiments/diagnostics/analyze_fig9_pairwise_context.py,experiments.diagnostics.analyze_fig9_pairwise_context,diagnostic,1220,2,49,0,1,True,True,False,True,0.137,13
experiments/diagnostics/analyze_fig9_preselection_segments.py,experiments.diagnostics.analyze_fig9_preselection_segments,diagnostic,680,0,18,1,1,True,True,False,True,0.056,0
experiments/diagnostics/analyze_fig9_readout_dynamics.py,experiments.diagnostics.analyze_fig9_readout_dynamics,diagnostic,1029,0,30,1,1,True,True,False,True,0.033,2
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,experiments.diagnostics.analyze_fig9_reference_neuron_selection,diagnostic,1222,0,21,0,2,True,True,False,True,0.286,0
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,experiments.diagnostics.analyze_fig9_scenario_aware_identity,diagnostic,268,0,6,3,0,False,False,False,True,0.000,0
experiments/diagnostics/analyze_fig9_segment_context_composition.py,experiments.diagnostics.analyze_fig9_segment_context_composition,diagnostic,398,0,18,0,0,False,False,False,True,0.111,0
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,experiments.diagnostics.analyze_fig9_teacher_forced_identity,diagnostic,1120,0,22,1,2,True,True,False,True,0.227,0
experiments/diagnostics/analyze_fig9_temporal_context.py,experiments.diagnostics.analyze_fig9_temporal_context,diagnostic,622,0,26,1,0,False,False,False,True,0.038,0
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,experiments.diagnostics.analyze_fig9_timing_eligibility_decomposition,diagnostic,631,0,16,1,1,True,True,False,True,0.000,0
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,experiments.diagnostics.analyze_fig9_wrong_segment_reinforcement,diagnostic,498,0,16,0,1,True,True,False,True,0.125,0
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,experiments.diagnostics.assemble_fig9_resumed_diagnostics,diagnostic,293,0,11,0,1,True,True,False,True,0.000,0
experiments/diagnostics/audit_fig9_paper_code_parity.py,experiments.diagnostics.audit_fig9_paper_code_parity,diagnostic,643,0,19,2,0,False,False,False,True,0.000,14
experiments/diagnostics/benchmark_real_timeseries.py,experiments.diagnostics.benchmark_real_timeseries,diagnostic,319,3,13,1,0,False,False,False,False,0.062,0
experiments/diagnostics/build_fig9_lmatch_stack_500_report.py,experiments.diagnostics.build_fig9_lmatch_stack_500_report,diagnostic,316,0,12,0,0,False,False,False,True,0.000,0
experiments/diagnostics/compare_fig9_competition_policies.py,experiments.diagnostics.compare_fig9_competition_policies,diagnostic,377,0,17,0,1,True,True,False,True,0.118,0
experiments/diagnostics/context_memory.py,experiments.diagnostics.context_memory,diagnostic,234,4,15,1,0,False,False,False,False,0.158,0
experiments/diagnostics/etth1_paper_snn.py,experiments.diagnostics.etth1_paper_snn,diagnostic,239,1,9,2,0,False,False,False,False,0.100,0
experiments/diagnostics/fig7_context_audit.py,experiments.diagnostics.fig7_context_audit,diagnostic,83,0,1,2,0,False,False,False,False,0.000,0
experiments/diagnostics/fig7_nonpaper_baselines.py,experiments.diagnostics.fig7_nonpaper_baselines,diagnostic,535,5,20,1,0,False,False,False,False,0.040,0
experiments/diagnostics/fig7_prediction_trace.py,experiments.diagnostics.fig7_prediction_trace,diagnostic,94,0,1,2,0,False,False,False,False,0.000,0
experiments/diagnostics/fig8_branch_coherence.py,experiments.diagnostics.fig8_branch_coherence,diagnostic,524,0,12,4,1,True,True,False,False,0.000,0
experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,648,1,18,4,12,True,True,False,True,0.211,19
experiments/diagnostics/fig8_false_positive_ablation.py,experiments.diagnostics.fig8_false_positive_ablation,diagnostic,95,0,2,2,0,False,False,False,False,0.000,0
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,experiments.diagnostics.fig8_intralayer_plasticity_parity,diagnostic,581,0,11,3,0,False,False,False,True,0.000,3
experiments/diagnostics/fig8_prediction_competition.py,experiments.diagnostics.fig8_prediction_competition,diagnostic,761,1,18,4,2,True,True,False,False,0.000,0
experiments/diagnostics/fig8_response_scale_sweep.py,experiments.diagnostics.fig8_response_scale_sweep,diagnostic,141,0,4,2,0,False,False,False,False,0.000,0
experiments/diagnostics/fig8_scenario1_contribution.py,experiments.diagnostics.fig8_scenario1_contribution,diagnostic,102,0,2,2,0,False,False,False,False,0.000,0
experiments/diagnostics/fig8_scenario1_diagnostic.py,experiments.diagnostics.fig8_scenario1_diagnostic,diagnostic,58,0,1,2,0,False,False,False,False,0.000,0
experiments/diagnostics/fig8_scenario_temporal_credit_parity.py,experiments.diagnostics.fig8_scenario_temporal_credit_parity,diagnostic,648,0,23,4,1,True,True,False,True,0.174,5
experiments/diagnostics/fig8_temporal_confirmation_semantics.py,experiments.diagnostics.fig8_temporal_confirmation_semantics,diagnostic,880,0,31,4,1,True,True,False,True,0.032,4
experiments/diagnostics/fig9_actual_branch_provenance.py,experiments.diagnostics.fig9_actual_branch_provenance,diagnostic,685,1,19,5,2,True,True,False,True,0.100,12
experiments/diagnostics/fig9_ambiguity.py,experiments.diagnostics.fig9_ambiguity,diagnostic,345,1,12,3,3,True,True,False,True,0.385,0
experiments/diagnostics/fig9_anchor_parity_abcd.py,experiments.diagnostics.fig9_anchor_parity_abcd,diagnostic,712,0,16,7,1,True,True,False,True,0.312,8
experiments/diagnostics/fig9_autonomous_context_provenance.py,experiments.diagnostics.fig9_autonomous_context_provenance,diagnostic,822,3,33,1,2,True,True,False,True,0.056,2
