candidate_id,hypothesis,evidence_before,change,tests,short_repro,250_result,500_result,repeat_result,status,reason,commit
C01,spike_response_lru_corruption,crashes appeared in continuous prediction,disable spike-response LRU,passed,target window still unstable,not run,not run,failed,rejected,Did not prevent corruption; reverted,
C02,continuous_prediction_cache_corruption,heavy cache access preceded some crashes,disable continuous caches,passed,target window still unstable,not run,not run,failed,rejected,Did not prevent corruption; reverted,
C03,CPython_312_runtime_bug,3.12 crashed in python312.dll,control run with CPython 3.13,import smoke passed,3.13 crashed with RESERVED instruction,not run,not run,failed,rejected,Independent interpreter also suffered native control-flow corruption,
C04,allocator_specific_bug,heap/object corruption symptoms,test PYTHONMALLOC variants,passed,variants did not establish stability,not run,not run,failed,rejected,No stable allocator-specific separation,
C05,diagnostic_readout_memory_pressure,readout rows increased memory,stream readout rows incrementally,504 tests passed,10-row A/B exactly equivalent,not run,fresh P3 crashed at index 409,three resume windows succeeded,accepted_diagnostic_only,Reduces diagnostic memory but core-only still crashes,a1d8fa1
C06,intracolumn_trace_accumulation,selector trace retained many rows,stream selector rows,passed,short run passed,not run,crash moved to final fingerprint,failed,rejected,Did not remove native corruption; reverted,
C07,final_fingerprint_traversal,failure manifested during final fingerprint,reuse checkpoint metadata fingerprint,passed,short attempt crashed in learning,not run,not run,failed,rejected,Fingerprint was a manifestation rather than root; reverted,
C08,optional_diagnostics_root_cause,crashes correlated with trace-heavy runs,disable all optional diagnostics,passed,one replay passed and identical replay crashed,not run,core-only crashed at index 411,nondeterministic,rejected,Core-only failure excludes diagnostic traces as required cause,
C09,checkpoint_deserialization_corruption,failures often followed resume,load failed checkpoints in fresh process,passed,restored types and fingerprints valid,not run,resume attempts nondeterministic,failed,rejected,No immediate restore pollution observed,
C10,host_firmware_or_hardware_instability,independent Python versions fail in different native modules,no repository change; external validation required,not_applicable,not_applicable,not run,fresh and resume both unstable,multiple failures,external_blocker,BIOS update memory test OS repair and dump analysis require host-level action,

